brand,model,color,size,sku,stock,price,image,warehouse
"FENDI","FENDI","CREAM","40","FEFE-CRE-40","2","120.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775432387/products/131/1775432386338-648479920_122126154381027433_1761003250376045186_n.jpg","2"
"FENDI","FENDI","CREAM","41","FEFE-CRE-41","1","120.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775432387/products/131/1775432386338-648479920_122126154381027433_1761003250376045186_n.jpg","2"
"FENDI","FENDI","CREAM","43","FEFE-CRE-43","2","120.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775432387/products/131/1775432386338-648479920_122126154381027433_1761003250376045186_n.jpg","2"
"FENDI","FENDI","CREAM","44","FEFE-CRE-44","2","120.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775432387/products/131/1775432386338-648479920_122126154381027433_1761003250376045186_n.jpg","2"
"FENDI","FENDI","CREAM","45","FEFE-CRE-45","2","120.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775432387/products/131/1775432386338-648479920_122126154381027433_1761003250376045186_n.jpg","2"
"FENDI","FENDI","PINK","41","FEFE-PIN-41","1","100.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775433199/products/131/1775433198548-download-21.jpg","2"
"FENDI","FENDI","PINK","42","FEFE-PIN-42","1","100.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775433199/products/131/1775433198548-download-21.jpg","2"
"FENDI","FENDI","PINK","43","FEFE-PIN-43","1","100.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775433199/products/131/1775433198548-download-21.jpg","2"
"FENDI","FENDI","PINK","44","FEFE-PIN-44","1","100.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775433199/products/131/1775433198548-download-21.jpg","2"
"FENDI","FENDI","WHITE","42","FEFE-WHI-42","1","100.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775432850/products/131/1775432850000-images-7.jpg","2"
"FENDI","FENDI","WHITE","43","FEFE-WHI-43","1","100.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775432850/products/131/1775432850000-images-7.jpg","2"
"FENDI","FENDI","WHITE","44","FEFE-WHI-44","2","100.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775432850/products/131/1775432850000-images-7.jpg","2"
"FENDI","FENDI","WHITE","45","FEFE-WHI-45","1","100.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775432850/products/131/1775432850000-images-7.jpg","2"
"FENDI","FENDI","YELLOW","41","FEFE-YEL-41","1","100.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775433156/products/131/1775433156078-images-6.jpg","2"
"FENDI","FENDI","YELLOW","44","FEFE-YEL-44","1","100.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775433156/products/131/1775433156078-images-6.jpg","2"
"FENDI","FENDI","YELLOW","45","FEFE-YEL-45","1","100.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775433156/products/131/1775433156078-images-6.jpg","2"
"FENDI","FENDI SANDALE","BROWN","36","FEFESA-BRO-36","2","70.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775485407/products/133/1775485407180-647102076_122126140923027433_7613716947222559295_n-1.jpg","2"
"FENDI","FENDI SANDALE","BROWN","37","FEFESA-BRO-37","1","70.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775485407/products/133/1775485407180-647102076_122126140923027433_7613716947222559295_n-1.jpg","2"
"FENDI","FENDI SANDALE","BROWN","38","FEFESA-BRO-38","2","70.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775485407/products/133/1775485407180-647102076_122126140923027433_7613716947222559295_n-1.jpg","2"
"FENDI","FENDI SANDALE","BROWN CREAM","36","FEFESA-BRCR-36","2","70.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775599210/products/133/1775599209764-na.jpg","2"
"FENDI","FENDI SANDALE","BROWN CREAM","37","FEFESA-BRCR-37","1","70.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775599210/products/133/1775599209764-na.jpg","2"
"FENDI","FENDI SANDALE","BROWN CREAM","38","FEFESA-BRCR-38","1","70.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775599210/products/133/1775599209764-na.jpg","2"
"FENDI","FENDI SANDALE","BROWN CREAM","39","FEFESA-BRCR-39","2","70.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775599210/products/133/1775599209764-na.jpg","2"
"FENDI","FENDI SANDALE","BROWN CREAM","40","FEFESA-BRCR-40","2","70.00","https://res.cloudinary.com/dxqypizph/image/upload/v1775599210/products/133/1775599209764-na.jpg","2"
